# Each row here is a potential suggester response, containing three values, tab-seperated
# Column 1 - the term to match a given suggester query
# Column 2 - the weight for this suggestion
# Column 3 - The suggester payload, a JSON object including "disp" and "id" values. Consumers of these suggestions
#            can use these vales to display a nice link to the record corresponding to the "id".

anesthesiology	1	{"disp": "Anesthesiology (online journal)", "id": "9977108105603681"}
blood	1	{"disp": "Blood (online journal)", "id": "9977115591903681"}
cell	1	{"disp": "Cell (online journal)", "id": "9977061241403681"}
eric	1	{"disp": "ERIC: Education Resources Information Center (online)", "id": "9921999873503681"}
journal of neuroscience	1	{"disp": "The journal of neuroscience (online journal)", "id": "9977044664903681"}
jstor	1	{"disp": "JSTOR database (online)", "id": "9979752131703681"}
knovel	1	{"disp": "Knovel (online)", "id": "9932015393503681"}
medline	1	{"disp": "MEDLINE (online)", "id": "9918247503503681"}
national review	1	{"disp": "National review (online)", "id": "9977047114403681"}
le monde	1	{"disp": "Le monde (online)", "id": "9977047827603681"}
nature	1	{"disp": "Nature (online journal)", "id": "9977047322103681"}
nexis uni	1	{"disp": "Nexis Uni (online)", "id": "9977170353703681"}
pitchbook	1	{"disp": "PitchBook (online)", "id": "9977497628803681"}
pnas	1	{"disp": "Proceedings of the National Academy of Sciences (US) (online journal)", "id": "9977043505303681"}
pubmed	1	{"disp": "PubMed (online)", "id": "9941483183503681"}
science	1	{"disp": "Science (online journal)", "id": "9977049253003681"}
scopus	1	{"disp": "Scopus (online)", "id": "9943162163503681"}
statista	1	{"disp": "Statista (online)", "id": "9957467153503681"}
web of science	1	{"disp": "ISI web of science (online)", "id": "9922023643503681"}
worldcat	1	{"disp": "WorldCat (online)", "id": "9919491523503681"}
